"State","Facility Name","Facility ID","Date","Hour","Gross Load (MW)","Steam Load (1000 lb/hr)","SO2 Mass (lbs)","CO2 Mass (short tons)","NOx Mass (lbs)","Heat Input (mmBtu)"
"AL","Barry",3,"2010-01-01",0,908,,4393.521,651.7,3150.801,7417.4
"AL","Barry",3,"2010-01-01",1,894,,3870.619,599.3,2919.9,6906.1
"AL","Barry",3,"2010-01-01",2,879,,3741.127,587,2976.701,6792.3
"AL","Barry",3,"2010-01-01",3,881,,3696.44,583.1,2981.301,6762.5
"AL","Barry",3,"2010-01-01",4,892,,3805.544,599.8,3011.601,6929
"AL","Barry",3,"2010-01-01",5,893,,3780.448,591.4,3003.3,6848.8
"AL","Barry",3,"2010-01-01",6,903,,3718.067,586.4,2960.7,6813.5
"AL","Barry",3,"2010-01-01",7,912,,3739.384,592.399,2952.001,6884.4
"AL","Barry",3,"2010-01-01",8,1057,,3987.274,666.3,3075.9,7948.8
"AL","Barry",3,"2010-01-01",9,1187,,4945.061,776.5,3234.3,9084.9
"AL","Barry",3,"2010-01-01",10,1206,,5185.951,796.6,3186.1,9272.7
"AL","Barry",3,"2010-01-01",11,1157,,5036.171,767.601,3132.8,8933.3
"AL","Barry",3,"2010-01-01",12,1073,,4984.263,734.2,3096.4,8392.6
"AL","Barry",3,"2010-01-01",13,1025,,5174.748,736.801,3099.499,8265.7
"AL","Barry",3,"2010-01-01",14,935,,4185.848,629.1,3264.4,7216.6
"AL","Barry",3,"2010-01-01",15,923,,4015.264,608.4,3083.9,7026.9
"AL","Barry",3,"2010-01-01",16,1109,,5436.348,780.7,3406.101,8904.6
"AL","Barry",3,"2010-01-01",17,1229,,5673.656,835.5,3273,9653.5
"AL","Barry",3,"2010-01-01",18,1239,,5934.258,862.7,3360.3,9920.9
"AL","Barry",3,"2010-01-01",19,1230,,5749.658,841.6,3189.9,9715.8
"AL","Barry",3,"2010-01-01",20,1221,,5513.758,818.801,3254.9,9492.9
"AL","Barry",3,"2010-01-01",21,1255,,5980.26,868.901,3192.9,9983.3
"AL","Barry",3,"2010-01-01",22,1247,,5897.161,857.8,3299.5,9876.7
"AL","Barry",3,"2010-01-01",23,1238,,5503.521,819.799,3430.3,9545.95
"AL","Barry",3,"2010-01-02",0,1329,,6023.811,922.2,3478.4,10887.8
"AL","Barry",3,"2010-01-02",1,1348,,5843.374,916.3,3435.7,10946.2
"AL","Barry",3,"2010-01-02",2,1469,,5869.557,962.5,3332.6,11664.8
"AL","Barry",3,"2010-01-02",3,1622,,5804.498,1006.601,3338.2,12475.5
"AL","Barry",3,"2010-01-02",4,1534,,5779.388,952.649,3358.699,11591.05
"AL","Barry",3,"2010-01-02",5,1592,,5377.739,967.4,3283.499,12121
"AL","Barry",3,"2010-01-02",6,1783,,5462.007,1044.5,3180.999,13339.9
"AL","Barry",3,"2010-01-02",7,1821,,5728.707,1087.3,3036.399,13759.4
"AL","Barry",3,"2010-01-02",8,1827,,5436.599,1068.1,3048,13566
"AL","Barry",3,"2010-01-02",9,1856,,5371.987,1065.7,3046.4,13533.1
"AL","Barry",3,"2010-01-02",10,1850,,5350.653,1061.7,2993.199,13469.3
"AL","Barry",3,"2010-01-02",11,1806,,4924.039,1021.801,2958.699,13070.8
"AL","Barry",3,"2010-01-02",12,1829,,5168.436,1049.5,3030.299,13339.6
"AL","Barry",3,"2010-01-02",13,1850,,5273.137,1072,2843.1,13558.8
"AL","Barry",3,"2010-01-02",14,1803,,4926.64,1037.2,3005.001,13223.4
"AL","Barry",3,"2010-01-02",15,1869,,5331.594,1085,2844.3,13725.4
"AL","Barry",3,"2010-01-02",16,1852,,5134.531,1072.299,2774.801,13627.7
"AL","Barry",3,"2010-01-02",17,1888,,5180.145,1081.1,2918.3,13724
"AL","Barry",3,"2010-01-02",18,1926,,5418.551,1111.1,3065.7,14020.8
"AL","Barry",3,"2010-01-02",19,1925,,5400.662,1108,3061.101,13998.5
"AL","Barry",3,"2010-01-02",20,1900,,5210.079,1088.201,2877.901,13817.1
"AL","Barry",3,"2010-01-02",21,1912,,5352.889,1110,2964.799,14036.3
"AL","Barry",3,"2010-01-02",22,1920,,5379.604,1111.4,2995.2,14061.1
"AL","Barry",3,"2010-01-02",23,1920,,5325.904,1109.801,3045.899,14046.3
"AL","Barry",3,"2010-01-03",0,1876,,5312.89,1094.299,2922.5,13813
"AL","Barry",3,"2010-01-03",1,1903,,5389.109,1104.999,2984,13931.8
"AL","Barry",3,"2010-01-03",2,1895,,5397.812,1109.2,2936.9,13975.1
"AL","Barry",3,"2010-01-03",3,1922,,5475.605,1126.5,2940.1,14209.7
"AL","Barry",3,"2010-01-03",4,1952,,5537.12,1136.699,2955.399,14318.2
"AL","Barry",3,"2010-01-03",5,1953,,5560.925,1138,2922,14335.6
"AL","Barry",3,"2010-01-03",6,1954,,5499.125,1132.001,2983.5,14275.4
"AL","Barry",3,"2010-01-03",7,1954,,5469.424,1132.999,2917.899,14286.2
"AL","Barry",3,"2010-01-03",8,1950,,5200.113,1071.9,2854.899,13682
"AL","Barry",3,"2010-01-03",9,1948,,5566.297,1135.5,2848.3,14291.2
"AL","Barry",3,"2010-01-03",10,1952,,5618.087,1137.201,2782.3,14301.6
"AL","Barry",3,"2010-01-03",11,1916,,5681.252,1133.4,2742.401,14167
"AL","Barry",3,"2010-01-03",12,1867,,5669.21,1117.5,2697.6,13915.1
"AL","Barry",3,"2010-01-03",13,1826,,5678.951,1102.3,2696.6,13654.8
"AL","Barry",3,"2010-01-03",14,1745,,5702.165,1079.9,2700,13236.8
"AL","Barry",3,"2010-01-03",15,1755,,5780.264,1087.1,2671.4,13303.1
"AL","Barry",3,"2010-01-03",16,1910,,6005.36,1159.599,2687.2,14358.9
"AL","Barry",3,"2010-01-03",17,1951,,6174.264,1183.9,2756.4,14669.5
"AL","Barry",3,"2010-01-03",18,1945,,6152.074,1183.4,2800.6,14671.3
"AL","Barry",3,"2010-01-03",19,1950,,6164.982,1182.799,2795.2,14671.5
"AL","Barry",3,"2010-01-03",20,1963,,6176.786,1184.201,2804.199,14686.9
"AL","Barry",3,"2010-01-03",21,1965,,6201.189,1186.6,2803.5,14713.2
"AL","Barry",3,"2010-01-03",22,1943,,6223.837,1183.2,2799.301,14645.7
"AL","Barry",3,"2010-01-03",23,1938,,6202.627,1181.2,2794.099,14618
"AL","Barry",3,"2010-01-04",0,1917,,6192.891,1176.3,2739,14543.4
"AL","Barry",3,"2010-01-04",1,1932,,6211.013,1179.399,2716.701,14590.3
"AL","Barry",3,"2010-01-04",2,1907,,6256.844,1177.1,2799.7,14518.9
"AL","Barry",3,"2010-01-04",3,1855,,6259.256,1159.9,2819.6,14218.3
"AL","Barry",3,"2010-01-04",4,1814,,6229.73,1144.8,2771.1,13982.9
"AL","Barry",3,"2010-01-04",5,1979,,6297.88,1204,2876.201,14946.9
"AL","Barry",3,"2010-01-04",6,2001,,6556.506,1221.4,2660.9,15133.8
"AL","Barry",3,"2010-01-04",7,2005,,6640.202,1233.4,2563,15250.3
"AL","Barry",3,"2010-01-04",8,2003,,6624.291,1226.699,2561.6,15176.7
"AL","Barry",3,"2010-01-04",9,1998,,6596.78,1221.399,2528.099,15116.5
"AL","Barry",3,"2010-01-04",10,1977,,6622.489,1213.2,2540.3,14972.7
"AL","Barry",3,"2010-01-04",11,1979,,6723.373,1216.699,2519.6,14995.8
"AL","Barry",3,"2010-01-04",12,1969,,6756.758,1222,2475,15037.1
"AL","Barry",3,"2010-01-04",13,1974,,6806.259,1222.5,2477.8,15041.8
"AL","Barry",3,"2010-01-04",14,1975,,6860.366,1226.5,2462.401,15087.9
"AL","Barry",3,"2010-01-04",15,1965,,6859.973,1226.4,2500.599,15090.9
"AL","Barry",3,"2010-01-04",16,1985,,6928.827,1241.1,2506.201,15270.7
"AL","Barry",3,"2010-01-04",17,2021,,6820.062,1240.701,2680,15291.9
"AL","Barry",3,"2010-01-04",18,2038,,6795.17,1247.6,2674.099,15363.9
"AL","Barry",3,"2010-01-04",19,2043,,6885.985,1256,2732.201,15455.8
"AL","Barry",3,"2010-01-04",20,2044,,6845.17,1253.7,2717.601,15423.8
"AL","Barry",3,"2010-01-04",21,2040,,6828.379,1254.5,2697,15438.3
"AL","Barry",3,"2010-01-04",22,2042,,6817.474,1253.101,2708.5,15420.8
"AL","Barry",3,"2010-01-04",23,2039,,6817.448,1252.901,2733.2,15401.1
"AL","Barry",3,"2010-01-05",0,2026,,6776.641,1241.1,2722.901,15211.8
"AL","Barry",3,"2010-01-05",1,2027,,6780.248,1243.1,2714,15236.8
"AL","Barry",3,"2010-01-05",2,2045,,6719.92,1252.099,2785.2,15443.3
"AL","Barry",3,"2010-01-05",3,2034,,6580.431,1237.601,2725.9,15310.1
"AL","Barry",3,"2010-01-05",4,2058,,6812.242,1263.501,2711.4,15570.7
"AL","Barry",3,"2010-01-05",5,2067,,6897.452,1273.401,2726,15674.8
"AL","Barry",3,"2010-01-05",6,2078,,6906.061,1273.6,2805.4,15682.6
"AL","Barry",3,"2010-01-05",7,2045,,6997.584,1281.699,2902.5,15706.3
"AL","Barry",3,"2010-01-05",8,1735,,6948.52,1162.575,2872.25,13729
"AL","Barry",3,"2010-01-05",9,1695,,6705.959,1138,2832.701,13585.8
"AL","Barry",3,"2010-01-05",10,1627,,6614.799,1088.3,2795.7,12920.75
"AL","Barry",3,"2010-01-05",11,1565,,6692.967,1087,2630,12815.5
"AL","Barry",3,"2010-01-05",12,1543,,6493.675,1063.9,2612.8,12596.1
"AL","Barry",3,"2010-01-05",13,1521,,6144.495,1040.4,2572.701,12381.2
"AL","Barry",3,"2010-01-05",14,1621,,6616.111,1068.1,2617.5,12663
"AL","Barry",3,"2010-01-05",15,1597,,6498.71,1080.399,2530.999,12711.4
"AL","Barry",3,"2010-01-05",16,1718,,6567.129,1141.2,2712.7,13597.1
"AL","Barry",3,"2010-01-05",17,2020,,6676.668,1260.2,2748.199,15415.2
"AL","Barry",3,"2010-01-05",18,2059,,6625.591,1268.399,2675.7,15582
"AL","Barry",3,"2010-01-05",19,2060,,6701.195,1275.2,2677.9,15651.3
"AL","Barry",3,"2010-01-05",20,2032,,6321.7,1226.3,2398.5,15177
"AL","Barry",3,"2010-01-05",21,2021,,6325.903,1225.599,2388.401,15172.7
"AL","Barry",3,"2010-01-05",22,2037,,6561,1260.401,2526.1,15510.5
"AL","Barry",3,"2010-01-05",23,2035,,6219.503,1225.9,2399.9,15176.9
"AL","Barry",3,"2010-01-06",0,2056,,6502.608,1260.701,2502.2,15519.9
"AL","Barry",3,"2010-01-06",1,2063,,6615.112,1271,2519.5,15621.7
"AL","Barry",3,"2010-01-06",2,2059,,6593.61,1267.4,2513.1,15586.8
"AL","Barry",3,"2010-01-06",3,1986,,5901.515,1186,2546.799,14796.8
"AL","Barry",3,"2010-01-06",4,2006,,6174.119,1215.1,2564.9,15080.8
"AL","Barry",3,"2010-01-06",5,2060,,6575.026,1264.1,2556.5,15565.4
"AL","Barry",3,"2010-01-06",6,2067,,6603.332,1269.1,2598.4,15616.7
"AL","Barry",3,"2010-01-06",7,2067,,6666.733,1273.701,2637.099,15664.2
"AL","Barry",3,"2010-01-06",8,2063,,6633.329,1270.601,2713.2,15628.5
"AL","Barry",3,"2010-01-06",9,2025,,6334.511,1233.099,2634.1,15252.2
"AL","Barry",3,"2010-01-06",10,1946,,5942.537,1181.901,2725.8,14700.4
"AL","Barry",3,"2010-01-06",11,1992,,6554.695,1251.999,2714.5,15286.1
"AL","Barry",3,"2010-01-06",12,1956,,6461.876,1239.199,2717.099,15076.9
"AL","Barry",3,"2010-01-06",13,1872,,6451.387,1205.201,2704,14472.9
"AL","Barry",3,"2010-01-06",14,1816,,6392.502,1184.3,2668.299,14137.9
