Average cost of fossil fuels for electricity generation (per Btu) for coal monthly
https://www.eia.gov/electricity/data/browser/#/topic/15?agg=1,0,2&fuel=8&geo=vvvvvvvvvvvvo&sec=80o&linechart=ELEC.COST_BTU.COW-US-98.M&columnchart=ELEC.COST_BTU.COW-US-98.M&map=ELEC.COST_BTU.COW-US-98.M&freq=M&ctype=linechart&ltype=pin&maptype=0&rse=0&pin=
12:02:47 GMT-0400 (Eastern Daylight Time)
Data source: U.S. Energy Information Administration
Month,United States : electric power dollars per million Btu
Feb 2023,2.5761
Jan 2023,2.586
Dec 2022,2.6491
Nov 2022,2.477
Oct 2022,2.4563
Sep 2022,2.508
Aug 2022,2.5125
Jul 2022,2.4743
Jun 2022,2.3214
May 2022,2.2349
Apr 2022,2.1782
Mar 2022,2.1514
Feb 2022,2.17
Jan 2022,2.2016
Dec 2021,2.0669
Nov 2021,2.0325
Oct 2021,2.021
Sep 2021,2.0037
Aug 2021,2.0531
Jul 2021,2.0041
Jun 2021,1.9474
May 2021,1.8871
Apr 2021,1.8854
Mar 2021,1.8853
Feb 2021,1.9176
Jan 2021,1.8928
Dec 2020,1.9049
Nov 2020,1.8987
Oct 2020,1.9005
Sep 2020,1.9335
Aug 2020,1.9311
Jul 2020,1.9004
Jun 2020,1.8965
May 2020,1.8818
Apr 2020,1.9128
Mar 2020,1.9166
Feb 2020,1.8958
Jan 2020,1.9266
Dec 2019,1.9012
Nov 2019,1.9515
Oct 2019,1.9483
Sep 2019,1.9513
Aug 2019,1.9951
Jul 2019,2.0141
Jun 2019,2.0197
May 2019,2.0457
Apr 2019,2.0579
Mar 2019,2.0662
Feb 2019,2.0595
Jan 2019,2.0935
Dec 2018,2.1078
Nov 2018,2.0498
Oct 2018,2.0389
Sep 2018,2.0419
Aug 2018,2.05
Jul 2018,2.0449
Jun 2018,2.0346
May 2018,2.0358
Apr 2018,2.0593
Mar 2018,2.0301
Feb 2018,2.0581
Jan 2018,2.0567
Dec 2017,2.0352
Nov 2017,2.0318
Oct 2017,2.0234
Sep 2017,2.0111
Aug 2017,2.0416
Jul 2017,2.0518
Jun 2017,2.0677
May 2017,2.0823
Apr 2017,2.0654
Mar 2017,2.0599
Feb 2017,2.0494
Jan 2017,2.0815
Dec 2016,2.0678
Nov 2016,2.0748
Oct 2016,2.0633
Sep 2016,2.1121
Aug 2016,2.0995
Jul 2016,2.1017
Jun 2016,2.0863
May 2016,2.1507
Apr 2016,2.1454
Mar 2016,2.1601
Feb 2016,2.0968
Jan 2016,2.108
Dec 2015,2.1473
Nov 2015,2.144
Oct 2015,2.1367
Sep 2015,2.2079
Aug 2015,2.2234
Jul 2015,2.199
Jun 2015,2.2439
May 2015,2.2537
Apr 2015,2.2235
Mar 2015,2.2512
Feb 2015,2.2513
Jan 2015,2.2771
Dec 2014,2.4995
Nov 2014,2.2939
Oct 2014,2.2979
Sep 2014,2.3617
Aug 2014,2.3547
Jul 2014,2.3648
Jun 2014,2.3747
May 2014,2.3861
Apr 2014,2.3737
Mar 2014,2.3529
Feb 2014,2.3123
Jan 2014,2.2836
Dec 2013,2.3265
Nov 2013,2.3166
Oct 2013,2.328
Sep 2013,2.3337
Aug 2013,2.3153
Jul 2013,2.3017
Jun 2013,2.3479
May 2013,2.3594
Apr 2013,2.3628
Mar 2013,2.3402
Feb 2013,2.3321
Jan 2013,2.3308
Dec 2012,2.3529
Nov 2012,2.3481
Oct 2012,2.3478
Sep 2012,2.3648
Aug 2012,2.3866
Jul 2012,2.3891
Jun 2012,2.3477
May 2012,2.4035
Apr 2012,2.4076
Mar 2012,2.3818
Feb 2012,2.3731
Jan 2012,2.3596
Dec 2011,2.3252
Nov 2011,2.3518
Oct 2011,2.3741
Sep 2011,2.4225
Aug 2011,2.4521
Jul 2011,2.4276
Jun 2011,2.3828
May 2011,2.4153
Apr 2011,2.3616
Mar 2011,2.326
Feb 2011,2.3362
Jan 2011,2.3091
Dec 2010,2.2171
Nov 2010,2.2429
Oct 2010,2.2543
Sep 2010,2.2616
Aug 2010,2.2864
Jul 2010,2.2573
Jun 2010,2.2328
May 2010,2.2511
Apr 2010,2.2812
Mar 2010,2.2994
Feb 2010,2.2527
Jan 2010,2.2112
Dec 2009,2.128
Nov 2009,2.1187
Oct 2009,2.1564
Sep 2009,2.1684
Aug 2009,2.1951
Jul 2009,2.1775
Jun 2009,2.2017
May 2009,2.2182
Apr 2009,2.2057
Mar 2009,2.2746
Feb 2009,2.2497
Jan 2009,2.2073
Dec 2008,2.1379
Nov 2008,2.146
Oct 2008,2.1895
Sep 2008,2.1675
Aug 2008,2.1578
Jul 2008,2.085
Jun 2008,2.0688
May 2008,2.0244
Apr 2008,1.9515
Mar 2008,1.9133
Feb 2008,1.8742
Jan 2008,1.867
