stateCode,facilityName,facilityId,unitId,associatedStacks,year,countOpTime,sumOpTime,grossLoad,steamLoad,so2Mass,so2Rate,co2Mass,co2Rate,noxMass,noxRate,heatInput,primaryFuelInfo,secondaryFuelInfo,unitType,so2ControlInfo,noxControlInfo,pmControlInfo,hgControlInfo,programCodeInfo
PA,"CPV Fairview, LLC",60589,CT-1,,2021,8090,8087.87,4046012.9,,3.51,0.0,1518017.013,0.059,71.578,0.0056,25543082.477,Natural Gas,"Diesel Oil, Other Gas",Combined cycle,,"Dry Low NOx Burners,Selective Catalytic Reduction",,,"ARP, CSNOX, CSOSG3, CSSO2G1, NSPS4T"
PA,"CPV Fairview, LLC",60589,CT-2,,2021,8004,7992.19,3998918.72,,3.471,0.0,1500581.222,0.059,71.199,0.0057,25249687.319,Natural Gas,"Diesel Oil, Other Gas",Combined cycle,,"Dry Low NOx Burners,Selective Catalytic Reduction",,,"ARP, CSNOX, CSOSG3, CSSO2G1, NSPS4T"
TX,Montgomery County Power Station,60925,CT1,,2021,7109,7086.76,2750303.51,,5.551,0.001,1099540.72,0.059,61.872,0.0076,18501868.219,Pipeline Natural Gas,,Combined cycle,,"Dry Low NOx Burners,Selective Catalytic Reduction",,,"ARP, CSOSG2"
TX,Montgomery County Power Station,60925,CT2,,2021,7066,7035.63,2718450.21,,5.485,0.001,1086482.959,0.059,59.922,0.0084,18282159.285,Pipeline Natural Gas,,Combined cycle,,"Dry Low NOx Burners,Selective Catalytic Reduction",,,"ARP, CSOSG2"
LA,St. Charles Power Station,60926,1A,,2021,6130,6098.18,2484041.8,,5.158,0.001,1021793.636,0.059,58.529,0.0088,17193616.477,Pipeline Natural Gas,,Combined cycle,,"Dry Low NOx Burners,Selective Catalytic Reduction",,,"ARP, CSOSG3"
LA,St. Charles Power Station,60926,1B,,2021,6424,6399.61,2642411.1,,5.482,0.001,1085841.92,0.059,63.687,0.0091,18271396.095,Pipeline Natural Gas,,Combined cycle,,"Dry Low NOx Burners,Selective Catalytic Reduction",,,"ARP, CSOSG3"
LA,Lake Charles Power Station,60927,1A,,2021,6877,6857.98,2883037.82,,5.821,0.001,1153171.681,0.059,60.751,0.0077,19404366.705,Pipeline Natural Gas,,Combined cycle,,"Dry Low NOx Burners,Selective Catalytic Reduction",,,"ARP, CSOSG3"
LA,Lake Charles Power Station,60927,1B,,2021,6761,6743.06,2775162.12,,5.426,0.001,1074793.776,0.059,64.796,0.009,18085495.166,Pipeline Natural Gas,,Combined cycle,,"Dry Low NOx Burners,Selective Catalytic Reduction",,,"ARP, CSOSG3"
PA,Hickory Run Energy Station,61028,CT1,,2021,7529,7511.87,3220637.77,,6.413,0.001,1270437.864,0.059,66.666,0.0071,21377502.941,Pipeline Natural Gas,,Combined cycle,,"Dry Low NOx Burners,Selective Catalytic Reduction",,,"ARP, CSNOX, CSOSG3, CSSO2G1, NSPS4T"
PA,Hickory Run Energy Station,61028,CT2,,2021,7757,7737.69,3328700.23,,6.566,0.001,1300664.365,0.059,69.598,0.0067,21886234.657,Pipeline Natural Gas,,Combined cycle,,"Dry Low NOx Burners,Selective Catalytic Reduction",,,"ARP, CSNOX, CSOSG3, CSSO2G1, NSPS4T"
