Average cost of fossil fuels for electricity generation (per Btu) for natural gas monthly
https://www.eia.gov/electricity/data/browser/#/topic/15?agg=1,0,2&fuel=1&geo=vvvvvvvvvvvvo&sec=80o&linechart=ELEC.COST_BTU.NG-US-98.M&columnchart=ELEC.COST_BTU.NG-US-98.M&map=ELEC.COST_BTU.NG-US-98.M&freq=M&ctype=linechart&ltype=pin&pin=&rse=0&maptype=0
12:05:22 GMT-0400 (Eastern Daylight Time)
Data source: U.S. Energy Information Administration
Month,United States : electric power dollars per million Btu
Feb 2023,4.4886
Jan 2023,7.2845
Dec 2022,9.2049
Nov 2022,5.7717
Oct 2022,5.8381
Sep 2022,8.1781
Aug 2022,9.0394
Jul 2022,7.5261
Jun 2022,7.9812
May 2022,7.552
Apr 2022,6.2563
Mar 2022,5.1573
Feb 2022,6.0573
Jan 2022,6.7452
Dec 2021,5.717
Nov 2021,5.7833
Oct 2021,5.691
Sep 2021,5.0559
Aug 2021,4.4394
Jul 2021,4.0869
Jun 2021,3.5413
May 2021,3.2778
Apr 2021,3.0898
Mar 2021,3.3276
Feb 2021,17.4288
Jan 2021,3.2339
Dec 2020,3.1876
Nov 2020,2.993
Oct 2020,2.4958
Sep 2020,2.4128
Aug 2020,2.4169
Jul 2020,2.07
Jun 2020,2.0389
May 2020,2.1888
Apr 2020,2.1205
Mar 2020,2.1516
Feb 2020,2.4181
Jan 2020,2.641
Dec 2019,2.9322
Nov 2019,2.9767
Oct 2019,2.493
Sep 2019,2.5943
Aug 2019,2.4163
Jul 2019,2.5432
Jun 2019,2.5768
May 2019,2.7645
Apr 2019,2.889
Mar 2019,3.4865
Feb 2019,3.642
Jan 2019,4.02
Dec 2018,4.7277
Nov 2018,4.1976
Oct 2018,3.4079
Sep 2018,3.1189
Aug 2018,3.284
Jul 2018,3.2442
Jun 2018,3.1241
May 2018,3.0604
Apr 2018,3.1567
Mar 2018,3.2093
Feb 2018,3.6287
Jan 2018,5.2026
Dec 2017,3.6826
Nov 2017,3.3841
Oct 2017,3.1371
Sep 2017,3.1626
Aug 2017,3.1327
Jul 2017,3.2108
Jun 2017,3.2892
May 2017,3.4972
Apr 2017,3.3891
Mar 2017,3.4002
Feb 2017,3.6025
Jan 2017,4.1705
Dec 2016,4.0148
Nov 2016,3.0356
Oct 2016,3.1291
Sep 2016,3.0766
Aug 2016,2.9601
Jul 2016,2.9715
Jun 2016,2.6849
May 2016,2.4116
Apr 2016,2.4378
Mar 2016,2.254
Feb 2016,2.7394
Jan 2016,3.0743
Dec 2015,2.6244
Nov 2015,2.6913
Oct 2015,2.9366
Sep 2015,3.0885
Aug 2015,3.1256
Jul 2015,3.1279
Jun 2015,3.1377
May 2015,3.1732
Apr 2015,3.1331
Mar 2015,3.5971
Feb 2015,4.8658
Jan 2015,4.1746
Dec 2014,4.3585
Nov 2014,4.5416
Oct 2014,4.1043
Sep 2014,4.2104
Aug 2014,4.1293
Jul 2014,4.4427
Jun 2014,4.8542
May 2014,4.9512
Apr 2014,5.1153
Mar 2014,6.1315
Feb 2014,7.6007
Jan 2014,7.2759
Dec 2013,4.985
Nov 2013,4.2568
Oct 2013,4.1564
Sep 2013,4.1144
Aug 2013,3.9331
Jul 2013,4.2277
Jun 2013,4.4477
May 2013,4.6638
Apr 2013,4.7296
Mar 2013,4.4004
Feb 2013,4.4877
Jan 2013,4.4585
Dec 2012,4.2619
Nov 2012,4.3339
Oct 2012,3.9147
Sep 2012,3.4612
Aug 2012,3.5271
Jul 2012,3.4638
Jun 2012,3.1432
May 2012,2.9832
Apr 2012,2.7447
Mar 2012,3.0241
Feb 2012,3.3919
Jan 2012,3.7426
Dec 2011,4.0961
Nov 2011,4.1767
Oct 2011,4.3944
Sep 2011,4.6134
Aug 2011,4.7534
Jul 2011,5.018
Jun 2011,5.1028
May 2011,4.9459
Apr 2011,4.936
Mar 2011,4.7397
Feb 2011,5.1833
Jan 2011,5.5464
Dec 2010,5.5605
Nov 2010,4.4541
Oct 2010,4.3511
Sep 2010,4.5061
Aug 2010,4.9464
Jul 2010,5.2251
Jun 2010,5.1951
May 2010,4.8527
Apr 2010,4.8003
Mar 2010,5.3606
Feb 2010,6.1428
Jan 2010,6.8294
Dec 2009,6.1063
Nov 2009,4.9518
Oct 2009,4.9312
Sep 2009,3.925
Aug 2009,4.1952
Jul 2009,4.3551
Jun 2009,4.5092
May 2009,4.5832
Apr 2009,4.5772
Mar 2009,4.7999
Feb 2009,5.4807
Jan 2009,6.4407
Dec 2008,6.7064
Nov 2008,6.4719
Oct 2008,6.5619
Sep 2008,7.5933
Aug 2008,8.7402
Jul 2008,11.4131
Jun 2008,12.0847
May 2008,10.6947
Apr 2008,9.9365
Mar 2008,9.2982
Feb 2008,8.6599
Jan 2008,8.3175
