stateCode,facilityName,facilityId,unitId,associatedStacks,year,countOpTime,sumOpTime,grossLoad,steamLoad,so2Mass,so2Rate,co2Mass,co2Rate,noxMass,noxRate,heatInput,primaryFuelInfo,secondaryFuelInfo,unitType,so2ControlInfo,noxControlInfo,pmControlInfo,hgControlInfo,programCodeInfo
AL,Barry,3,1,CS0AAN,2021,0,0.0,,,,,,,,,,Pipeline Natural Gas,,Tangentially-fired,,"Low NOx Burner Technology w/ Closed-coupled OFA,Selective Non-catalytic Reduction",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
AL,Barry,3,2,CS0AAN,2021,57,56.5,821.0,,0.004,0.001,860.1,0.0593,0.36,0.0416,14475.35,Pipeline Natural Gas,,Tangentially-fired,,"Low NOx Burner Technology w/ Closed-coupled OFA,Selective Non-catalytic Reduction",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
AL,Barry,3,4,,2021,3806,3787.25,769941.75,,3488.588,0.8983,747834.375,0.1029,932.246,0.2426,7288859.725,Coal,Pipeline Natural Gas,Tangentially-fired,,"Low NOx Burner Technology w/ Separated OFA,Selective Non-catalytic Reduction",Electrostatic Precipitator,Halogenated PAC Sorbent Injection,"ARP, CSNOX, CSOSG2, CSSO2G2, MATS"
AL,Barry,3,5,,2021,6081,6059.75,3386018.75,,375.928,0.0644,3431439.075,0.1027,1184.367,0.0736,33444864.425,Coal,Pipeline Natural Gas,Tangentially-fired,Wet Limestone,"Low NOx Burner Technology w/ Separated OFA,Selective Catalytic Reduction",Electrostatic Precipitator,"Catalyst (gold, palladium, or other) used to oxidize mercury","ARP, CSNOX, CSOSG2, CSSO2G2, MATS"
AL,Barry,3,6A,,2021,7152,7149.5,1851342.25,,3.799,0.001,752502.45,0.059,56.057,0.0093,12662304.95,Pipeline Natural Gas,,Combined cycle,,"Dry Low NOx Burners,Selective Catalytic Reduction",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
AL,Barry,3,6B,,2021,7376,7365.75,1905536.0,,4.039,0.001,800070.8,0.059,59.633,0.0094,13462746.075,Pipeline Natural Gas,,Combined cycle,,"Dry Low NOx Burners,Selective Catalytic Reduction",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
AL,Barry,3,7A,,2021,8260,8250.5,2143308.25,,4.644,0.001,919942.125,0.059,69.372,0.0094,15479789.6,Pipeline Natural Gas,,Combined cycle,,"Dry Low NOx Burners,Selective Catalytic Reduction",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
AL,Barry,3,7B,,2021,8298,8288.0,2164953.0,,4.668,0.001,924749.1,0.059,63.74,0.0087,15560708.875,Pipeline Natural Gas,,Combined cycle,,"Dry Low NOx Burners,Selective Catalytic Reduction",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
AL,Gadsden,7,1,CS0BAN,2021,0,0.0,,,,,,,,,,Pipeline Natural Gas,,Tangentially-fired,,,,,"ARP, CSNOX, CSOSG2, CSSO2G2"
AL,Gadsden,7,2,CS0BAN,2021,0,0.0,,,,,,,,,,Pipeline Natural Gas,,Tangentially-fired,,,,,"ARP, CSNOX, CSOSG2, CSSO2G2"
